category,insight,total_mentions,num_restaurants
service,friendly staff,349,10
service,wonderful baristas,162,7
service,friendly and welcoming,24,4
service,barista luis,8,1
service,barista is super,3,1
coffee,iced latte,118,9
coffee,flat white,113,7
coffee,amazing cappuccino,61,6
coffee,chai tea latte,48,4
coffee,latte art,30,1
specialty_drink,matcha,81,8
specialty_drink,cold brew,56,5
specialty_drink,iced,21,3
specialty_drink,coffee and matcha,5,2
specialty_drink,attention priced,2,1
food,breakfast,325,8
food,great breakfast,167,6
food,light eggs benedicts,79,1
food,multiple avocado toast,42,3
food,mascarpone toast,13,1
